Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,LapNumber,AirTemp,TrackTemp,Humidity,WindSpeed,Round,SessionType,CircuitType,LapTimeSeconds,S1Seconds,S2Seconds,S3Seconds,TeamTier,CircuitName,LapLengthKm,NumCorners,NumDRS,AvgSpeedKmh,MaxSpeedKmh,DownforceLevel,LapTimeSeconds_delta,LapTimeSeconds_pct,S1Seconds_delta,S1Seconds_pct,S2Seconds_delta,S2Seconds_pct,S3Seconds_delta,S3Seconds_pct,DriverFormDelta,CircuitTypeCode,SessionTypeCode,Driver_ANT,Driver_BEA,Driver_BOR,Driver_COL,Driver_GAS,Driver_HAD,Driver_HAM,Driver_HUL,Driver_LAW,Driver_LEC,Driver_LIN,Driver_NOR,Driver_PIA,Driver_RUS,Driver_SAI,Driver_VER,Team_Alpine,Team_Audi,Team_Ferrari,Team_Haas F1 Team,Team_McLaren,Team_Mercedes,Team_Racing Bulls,Team_Red Bull Racing,Team_Williams
ANT,Mercedes,0 days 00:01:20.120000,0 days 00:00:28.214000,0 days 00:00:17.610000,0 days 00:00:34.296000,SOFT,2.0,264.0,273.0,292.0,279.0,True,2.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,80.12,28.214,17.61,34.296,3.0,Australia,5.278,16,4,218,320,3,0.10349999999999682,0.12934832190860238,0.15500000000000114,0.5524074272069609,0.043499999999998096,0.24763043292629774,-0.029000000000003467,-0.08448652585580033,0.10349999999999682,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:20.289000,0 days 00:00:28.414000,0 days 00:00:17.745000,0 days 00:00:34.130000,SOFT,4.0,261.0,273.0,292.0,282.0,False,4.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,80.289,28.414,17.745,34.13,3.0,Australia,5.278,16,4,218,320,3,0.27249999999999375,0.3405547605806224,0.355000000000004,1.2651912042482056,0.17849999999999966,1.0161386730424367,-0.19500000000000028,-0.5680990531682455,0.18799999999999528,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:19.604000,0 days 00:00:27.908000,0 days 00:00:17.495000,0 days 00:00:34.201000,SOFT,2.0,273.0,278.0,299.0,294.0,True,7.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,79.604,27.908,17.495,34.201,3.0,Australia,5.278,16,4,218,320,3,-0.4125000000000085,-0.5155186742734418,-0.15099999999999625,-0.5381517516661187,-0.07150000000000034,-0.4070247345800264,-0.12400000000000233,-0.3612527312454547,-0.012166666666672654,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:19.435000,0 days 00:00:28.002000,0 days 00:00:17.497000,0 days 00:00:33.936000,SOFT,5.0,279.0,285.0,292.0,286.0,True,10.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,79.435,28.002,17.497,33.936,3.0,Australia,5.278,16,4,218,320,3,-0.5815000000000055,-0.7267251129454618,-0.05699999999999861,-0.20314337645674688,-0.06950000000000145,-0.39563942731905305,-0.3890000000000029,-1.1332847778587118,-0.15450000000000585,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:18.811000,0 days 00:00:27.556000,0 days 00:00:17.440000,0 days 00:00:33.815000,SOFT,2.0,272.0,274.0,298.0,289.0,True,17.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,78.811,27.556,17.44,33.815,3.0,Australia,5.278,16,4,218,320,3,-1.2055000000000007,-1.5065642711190823,-0.5029999999999966,-1.7926511992586929,-0.12650000000000006,-0.7201206842569666,-0.5100000000000051,-1.4857975236708085,-0.3647000000000048,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:33.305000,0 days 00:00:24.288000,0 days 00:00:28.048000,0 days 00:00:40.969000,SOFT,2.0,283.0,276.0,260.0,311.0,True,2.0,17.75822784810126,30.99493670886076,34.3746835443038,2.7101265822784817,2,Q,permanent,93.305,24.288,28.048,40.969,3.0,China,5.451,16,2,210,327,3,0.046999999999997044,0.05039782109845487,-0.038000000000000256,-0.1562114609882441,0.024499999999999744,0.0874266240833577,0.053500000000006764,0.13075729246864093,-0.29608333333333786,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:32.950000,0 days 00:00:24.156000,0 days 00:00:27.861000,0 days 00:00:40.933000,SOFT,5.0,285.0,272.0,251.0,311.0,True,5.0,17.75822784810126,30.99493670886076,34.3746835443038,2.7101265822784817,2,Q,permanent,92.95,24.156,27.861,40.933,3.0,China,5.451,16,2,210,327,3,-0.30800000000000693,-0.3302665723047963,-0.1700000000000017,-0.6988407465263574,-0.16249999999999787,-0.5798704658590036,0.0175000000000054,0.04277107697573145,-0.29778571428571915,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:32.443000,0 days 00:00:24.141000,0 days 00:00:27.726000,0 days 00:00:40.576000,SOFT,2.0,286.0,279.0,256.0,314.0,True,8.0,17.75822784810126,30.99493670886076,34.3746835443038,2.7101265822784817,2,Q,permanent,92.443,24.141,27.726,40.576,3.0,China,5.451,16,2,210,327,3,-0.8150000000000119,-0.8739196637285938,-0.18500000000000227,-0.7605031653375083,-0.29749999999999943,-1.0616090067264954,-0.3394999999999939,-0.8297588933289193,-0.36243750000000574,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:32.322000,0 days 00:00:24.003000,0 days 00:00:27.714000,0 days 00:00:40.605000,SOFT,2.0,285.0,273.0,251.0,310.0,True,11.0,17.75822784810126,30.99493670886076,34.3746835443038,2.7101265822784817,2,Q,permanent,92.322,24.003,27.714,40.605,3.0,China,5.451,16,2,210,327,3,-0.936000000000007,-1.0036672457054698,-0.3230000000000004,-1.3277974184000674,-0.3094999999999999,-1.1044302103591626,-0.31049999999999756,-0.7588811086263093,-0.4261666666666726,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:32.064000,0 days 00:00:24.013000,0 days 00:00:27.664000,0 days 00:00:40.387000,SOFT,2.0,286.0,276.0,253.0,308.0,True,14.0,17.75822784810126,30.99493670886076,34.3746835443038,2.7101265822784817,2,Q,permanent,92.064,24.013,27.664,40.387,3.0,China,5.451,16,2,210,327,3,-1.1940000000000168,-1.2803191147140371,-0.31299999999999883,-1.2866891391926287,-0.35949999999999704,-1.282851892161925,-0.528499999999994,-1.2916865246666764,-0.502950000000007,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:33.455000,0 days 00:00:24.508000,0 days 00:00:28.154000,0 days 00:00:40.793000,MEDIUM,2.0,279.0,269.0,254.0,314.0,True,2.0,16.401666666666667,28.17166666666667,25.80666666666667,1.7399999999999998,2,SQ,permanent,93.455,24.508,28.154,40.793,3.0,China,5.451,16,2,210,327,3,0.19499999999999318,0.20909285867466562,0.05699999999999861,0.23311929982413235,-0.027999999999998693,-0.09935419771484881,0.14000000000000057,0.3443780286817715,-0.43950000000000694,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ANT,Mercedes,0 days 00:01:32.570000,0 days 00:00:24.308000,0 days 00:00:27.903000,0 days 00:00:40.359000,MEDIUM,2.0,276.0,261.0,257.0,318.0,True,5.0,16.401666666666667,28.17166666666667,25.80666666666667,1.7399999999999998,2,SQ,permanent,92.57,24.308,27.903,40.359,3.0,China,5.451,16,2,210,327,3,-0.6900000000000119,-0.739867038387317,-0.14300000000000068,-0.5848431556991561,-0.2789999999999999,-0.9899936129444323,-0.29399999999999693,-0.7231938602317096,-0.46037500000000736,0,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
