Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,LapNumber,AirTemp,TrackTemp,Humidity,WindSpeed,Round,SessionType,CircuitType,LapTimeSeconds,S1Seconds,S2Seconds,S3Seconds,TeamTier
RUS,Mercedes,0 days 00:01:19.840000,0 days 00:00:27.990000,0 days 00:00:17.599000,0 days 00:00:34.251000,SOFT,2.0,265.0,278.0,294.0,292.0,True,2.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,79.84,27.99,17.599,34.251,3.0
RUS,Mercedes,0 days 00:01:19.507000,0 days 00:00:27.908000,0 days 00:00:17.413000,0 days 00:00:34.186000,SOFT,7.0,266.0,282.0,301.0,296.0,True,7.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,79.507,27.908,17.413,34.186,3.0
RUS,Mercedes,0 days 00:01:18.934000,0 days 00:00:27.816000,0 days 00:00:17.287000,0 days 00:00:33.831000,SOFT,2.0,273.0,285.0,301.0,294.0,True,10.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,78.934,27.816,17.287,33.831,3.0
RUS,Mercedes,0 days 00:01:18.987000,0 days 00:00:27.662000,0 days 00:00:17.426000,0 days 00:00:33.899000,SOFT,5.0,268.0,280.0,297.0,294.0,False,13.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,78.987,27.662,17.426,33.899,3.0
RUS,Mercedes,0 days 00:01:19.084000,0 days 00:00:27.674000,0 days 00:00:17.488000,0 days 00:00:33.922000,SOFT,3.0,269.0,274.0,298.0,293.0,True,18.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,79.084,27.674,17.488,33.922,3.0
RUS,Mercedes,0 days 00:01:18.518000,0 days 00:00:27.498000,0 days 00:00:17.284000,0 days 00:00:33.736000,SOFT,2.0,267.0,284.0,296.0,296.0,True,21.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,78.518,27.498,17.284,33.736,3.0
HAM,Ferrari,0 days 00:01:20.852000,0 days 00:00:28.296000,0 days 00:00:17.795000,0 days 00:00:34.761000,MEDIUM,2.0,263.0,286.0,305.0,289.0,True,2.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,80.852,28.296,17.795,34.761,2.0
HAM,Ferrari,0 days 00:01:20.421000,0 days 00:00:28.259000,0 days 00:00:17.657000,0 days 00:00:34.505000,MEDIUM,5.0,262.0,288.0,301.0,285.0,True,5.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,80.421,28.259,17.657,34.505,2.0
HAM,Ferrari,0 days 00:01:19.811000,0 days 00:00:27.944000,0 days 00:00:17.609000,0 days 00:00:34.258000,MEDIUM,8.0,265.0,283.0,304.0,295.0,True,8.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,79.811,27.944,17.609,34.258,2.0
HAM,Ferrari,0 days 00:01:19.921000,0 days 00:00:27.976000,0 days 00:00:17.630000,0 days 00:00:34.315000,SOFT,2.0,264.0,284.0,301.0,293.0,True,15.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,79.921,27.976,17.63,34.315,2.0
HAM,Ferrari,0 days 00:01:20.423000,0 days 00:00:28.405000,0 days 00:00:17.604000,0 days 00:00:34.414000,SOFT,4.0,265.0,284.0,300.0,291.0,True,21.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,80.423,28.405,17.604,34.414,2.0
HAM,Ferrari,0 days 00:01:19.478000,0 days 00:00:27.756000,0 days 00:00:17.570000,0 days 00:00:34.152000,SOFT,2.0,275.0,282.0,301.0,296.0,True,24.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,79.478,27.756,17.57,34.152,2.0
LEC,Ferrari,0 days 00:01:20.712000,0 days 00:00:28.361000,0 days 00:00:17.661000,0 days 00:00:34.690000,MEDIUM,2.0,262.0,284.0,301.0,294.0,True,2.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,80.712,28.361,17.661,34.69,2.0
LEC,Ferrari,0 days 00:01:20.226000,0 days 00:00:28.211000,0 days 00:00:17.611000,0 days 00:00:34.404000,MEDIUM,4.0,263.0,290.0,299.0,293.0,True,4.0,20.452631578947376,34.27263157894737,63.718947368421055,2.3547368421052632,1,Q,street,80.226,28.211,17.611,34.404,2.0
