Driver,Team,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,LapNumber,AirTemp,TrackTemp,Humidity,WindSpeed,Year,LapTimeSeconds,S1Seconds,S2Seconds,S3Seconds,TeamTier
VER,Red Bull Racing,0 days 00:01:06.097000,0 days 00:00:16.739000,0 days 00:00:29.389000,0 days 00:00:19.969000,SOFT,2.0,314.0,243.0,284.0,319.0,True,2.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,66.097,16.739,29.389,19.969,1.0
VER,Red Bull Racing,0 days 00:01:05.852000,0 days 00:00:16.543000,0 days 00:00:29.356000,0 days 00:00:19.953000,SOFT,5.0,316.0,242.0,283.0,316.0,True,5.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,65.852,16.543,29.356,19.953,1.0
VER,Red Bull Racing,0 days 00:01:05.568000,0 days 00:00:16.582000,0 days 00:00:29.115000,0 days 00:00:19.871000,SOFT,2.0,315.0,245.0,282.0,317.0,True,8.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,65.568,16.582,29.115,19.871,1.0
VER,Red Bull Racing,0 days 00:01:05.374000,0 days 00:00:16.595000,0 days 00:00:29.039000,0 days 00:00:19.740000,SOFT,2.0,316.0,243.0,283.0,316.0,True,11.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,65.374,16.595,29.039,19.74,1.0
VER,Red Bull Racing,0 days 00:01:05.092000,0 days 00:00:16.421000,0 days 00:00:28.903000,0 days 00:00:19.768000,SOFT,2.0,316.0,248.0,284.0,319.0,True,14.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,65.092,16.421,28.903,19.768,1.0
VER,Red Bull Racing,0 days 00:01:04.984000,0 days 00:00:16.478000,0 days 00:00:28.959000,0 days 00:00:19.547000,SOFT,2.0,316.0,247.0,285.0,316.0,True,17.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,64.984,16.478,28.959,19.547,1.0
PER,Red Bull Racing,0 days 00:01:06.806000,0 days 00:00:16.906000,0 days 00:00:29.607000,0 days 00:00:20.293000,SOFT,2.0,311.0,240.0,282.0,316.0,True,2.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,66.806,16.906,29.607,20.293,1.0
PER,Red Bull Racing,0 days 00:01:06.143000,0 days 00:00:16.667000,0 days 00:00:29.332000,0 days 00:00:20.144000,SOFT,5.0,314.0,243.0,282.0,318.0,True,5.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,66.143,16.667,29.332,20.144,1.0
PER,Red Bull Racing,0 days 00:01:06.509000,0 days 00:00:16.707000,0 days 00:00:29.659000,0 days 00:00:20.143000,SOFT,8.0,312.0,241.0,285.0,319.0,False,8.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,66.509,16.707,29.659,20.143,1.0
PER,Red Bull Racing,0 days 00:01:06.458000,0 days 00:00:16.637000,0 days 00:00:29.792000,0 days 00:00:20.029000,SOFT,2.0,316.0,239.0,281.0,320.0,True,11.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,66.458,16.637,29.792,20.029,1.0
PER,Red Bull Racing,0 days 00:01:06.273000,0 days 00:00:16.734000,0 days 00:00:29.449000,0 days 00:00:20.090000,SOFT,5.0,314.0,236.0,281.0,315.0,True,14.0,19.0010101010101,35.94949494949495,34.43434343434343,1.5080808080808081,2022,66.273,16.734,29.449,20.09,1.0
